asset_id,phase,phase_name,category,kind,canvas,grid,cell,pivot,parent,layer,godot_folder,source,audio_prompt,background_policy,ready_prompt
audio_accessibility_ui_focus,06,"Phase 6 — Polish, Accessibility, Branding, Audio",audio,audio_brief,,,,center,,,audio/,07-phase-6-polish-accessibility-audio.prompt.md,prompts_by_phase/phase_06_polish_accessibility_branding_audio/audio/audio_accessibility_ui_focus.audio.prompt.txt,audio,prompts_by_phase/phase_06_polish_accessibility_branding_audio/audio/audio_accessibility_ui_focus.audio.prompt.txt
audio_battle_loop_khan1,01,Phase 1 — Khan 1 Vertical Slice,audio,audio_brief,,,,center,,,audio/,02-phase-1-khan-1-slice.prompt.md,prompts_by_phase/phase_01_khan_1_vertical_slice/audio/audio_battle_loop_khan1.audio.prompt.txt,audio,prompts_by_phase/phase_01_khan_1_vertical_slice/audio/audio_battle_loop_khan1.audio.prompt.txt
audio_boss_sting_lion,01,Phase 1 — Khan 1 Vertical Slice,audio,audio_brief,,,,center,,,audio/,02-phase-1-khan-1-slice.prompt.md,prompts_by_phase/phase_01_khan_1_vertical_slice/audio/audio_boss_sting_lion.audio.prompt.txt,audio,prompts_by_phase/phase_01_khan_1_vertical_slice/audio/audio_boss_sting_lion.audio.prompt.txt
audio_build_tower,01,Phase 1 — Khan 1 Vertical Slice,audio,audio_brief,,,,center,,,audio/,02-phase-1-khan-1-slice.prompt.md,prompts_by_phase/phase_01_khan_1_vertical_slice/audio/audio_build_tower.audio.prompt.txt,audio,prompts_by_phase/phase_01_khan_1_vertical_slice/audio/audio_build_tower.audio.prompt.txt
audio_corruption_ambient,06,"Phase 6 — Polish, Accessibility, Branding, Audio",audio,audio_brief,,,,center,,,audio/,07-phase-6-polish-accessibility-audio.prompt.md,prompts_by_phase/phase_06_polish_accessibility_branding_audio/audio/audio_corruption_ambient.audio.prompt.txt,audio,prompts_by_phase/phase_06_polish_accessibility_branding_audio/audio/audio_corruption_ambient.audio.prompt.txt
audio_corruption_warning,01,Phase 1 — Khan 1 Vertical Slice,audio,audio_brief,,,,center,,,audio/,02-phase-1-khan-1-slice.prompt.md,prompts_by_phase/phase_01_khan_1_vertical_slice/audio/audio_corruption_warning.audio.prompt.txt,audio,prompts_by_phase/phase_01_khan_1_vertical_slice/audio/audio_corruption_warning.audio.prompt.txt
audio_damavand_anchor_activation,05,"Phase 5 — Damavand, Zahhak Hunt, Live-Ops",audio,audio_brief,,,,center,,,audio/,06-phase-5-damavand-liveops.prompt.md,prompts_by_phase/phase_05_damavand_zahhak_liveops/audio/audio_damavand_anchor_activation.audio.prompt.txt,audio,prompts_by_phase/phase_05_damavand_zahhak_liveops/audio/audio_damavand_anchor_activation.audio.prompt.txt
audio_damavand_finale,06,"Phase 6 — Polish, Accessibility, Branding, Audio",audio,audio_brief,,,,center,,,audio/,07-phase-6-polish-accessibility-audio.prompt.md,prompts_by_phase/phase_06_polish_accessibility_branding_audio/audio/audio_damavand_finale.audio.prompt.txt,audio,prompts_by_phase/phase_06_polish_accessibility_branding_audio/audio/audio_damavand_finale.audio.prompt.txt
audio_defeat_stinger,01,Phase 1 — Khan 1 Vertical Slice,audio,audio_brief,,,,center,,,audio/,02-phase-1-khan-1-slice.prompt.md,prompts_by_phase/phase_01_khan_1_vertical_slice/audio/audio_defeat_stinger.audio.prompt.txt,audio,prompts_by_phase/phase_01_khan_1_vertical_slice/audio/audio_defeat_stinger.audio.prompt.txt
audio_fate_card_select,06,"Phase 6 — Polish, Accessibility, Branding, Audio",audio,audio_brief,,,,center,,,audio/,07-phase-6-polish-accessibility-audio.prompt.md,prompts_by_phase/phase_06_polish_accessibility_branding_audio/audio/audio_fate_card_select.audio.prompt.txt,audio,prompts_by_phase/phase_06_polish_accessibility_branding_audio/audio/audio_fate_card_select.audio.prompt.txt
